"intercept","price","x3","x4","x5","z1","z2","z3","z4","z5","z6","z7","z8","z9","z10","z11","z12","z13","z14","z15","z16","z17","z18","z19","z20","Market","Shares"
1,12.1084554779135,0.160992107501696,4.81240202231908,1.7821892978356,1,0.378256497224201,0.488768233803593,0.102250479310116,0.957011882202183,0.169484589307655,0.806282764094979,0.0985618263026695,0.981758049775501,0.963091658132249,0.576580049940181,0.896530006301722,0.568232741223325,0.91564446615402,0.747242747621526,0.105834722529282,0.219021603143577,0.817922658211568,0.58019939102013,0.447470811135064,1,0.0108793053642802
1,13.1814071572636,1.48540462037865,4.80138933354581,1.93453246924382,1,0.604462923851366,0.815647940311083,0.714063540108634,0.19596988885361,0.940085865379135,0.429000751574496,0.351629219165565,0.0547793561669221,0.584985562078285,0.995279294601662,0.891717518741488,0.986929852416391,0.558251199986089,0.263951281083781,0.14141000742811,0.343043066155006,0.391998989659547,0.435976338939987,0.608724686854831,1,0.040581989369843
1,15.4914948790997,1.5037733181654,4.77138476754794,1.64147034872985,1,0.470545061464106,0.862062229369033,0.867708920607177,0.789974519071579,0.386673280196681,0.378461406264668,0.911161938343225,0.824598431099619,0.425819437631479,0.705441613123194,0.285376657557425,0.406571728240132,0.513993221360706,0.20736996932564,0.997861697432455,0.345569785857641,0.914552003381333,0.941881569883926,0.70457381201015,1,0.00385949744475603
1,11.1787019952053,4.79854990666713,4.61009398464664,1.8441180174181,1,0.42273789117482,0.362673639246267,0.373127889341066,0.0254548293172903,0.489420397103633,0.236174278360395,0.413187028368712,0.839273724393334,0.547815519592223,0.631040912351779,0.163877186112682,0.915208444549935,0.151042636306681,0.852034320323894,0.843237536084595,0.209150037915109,0.67282226754823,0.362544398101862,0.478865536275412,1,0.761173076789538
1,13.0092833781826,0.939335643114617,4.59897352992476,1.73079040163975,1,0.840464603991802,0.161859145860117,0.476481701073215,0.596514859744351,0.830633305035224,0.759471274859204,0.0319517036721475,0.68893417269469,0.637580185971511,0.20619424528179,0.839087548385947,0.203301602089656,0.507820002429365,0.315016998984727,0.74639265395817,0.656800746651638,0.668211496007052,0.95805507624996,0.0476481719615345,1,0.0143625104682408
1,12.7250295840406,0.608790701956403,4.82101045086651,1.75976943140046,1,0.688748781720635,0.582526008774769,0.580854677843065,0.788104954927293,0.0758840753324452,0.373432939466887,0.691006589048296,0.457752314945566,0.61692194765037,0.0408914784594805,0.240902613843467,0.898109984965962,0.230154814364735,0.378550532399179,0.90995597436294,0.547028581752933,0.62210466315415,0.597987351151805,0.812731878398135,2,0.0554510705191067
1,11.94268962042,1.63786880787133,4.7507063103054,1.75217899458211,1,0.539009434794664,0.592972195676317,0.0126714188954233,0.872073979801202,0.211957874774021,0.730589508023274,0.386033902033102,0.474903675007275,0.886815017946423,0.660600144735455,0.778124272048123,0.887326129194599,0.0649888346366501,0.155080649392477,0.149624987425101,0.885846711154808,0.611061585277613,0.431800566447931,0.237102212294766,2,0.51947584948091
1,11.0478835427047,1.31550586820723,4.820357754065,1.68651676818855,1,0.318525677324963,0.421172064885013,0.103926750695967,0.587956021041835,0.684397262428243,0.329695215332794,0.997897548145138,0.560360624457048,0.718655578276054,0.318766012666042,0.682768874281062,0.349496239689839,0.145797420193363,0.616762358642115,0.997066956369954,0.992280104984689,0.150546197111779,0.778802358518456,0.463468212388745,2,0.0667646305574269
1,10.6196340566432,0.555449256595098,4.64456603451664,1.79720605842805,1,0.690280940384655,0.809679158216114,0.193025844987707,0.330439635768852,0.563063876839114,0.44886002158891,0.684714746169712,0.289078315628198,0.0782754679046891,0.642743152982958,0.301603798533446,0.42106344030929,0.488330226410452,0.394090886711897,0.253674610073071,0.271845766966835,0.680446793575139,0.35930903867604,0.36190156585832,2,0.121389687415278
1,10.4620041935516,0.296094100227426,4.6860613700802,1.66982580473727,1,0.0107412341230797,0.642742634432298,0.268236685656442,0.391936556977485,0.555500585507332,0.777744056303016,0.414669829788746,0.316654573209883,0.730974133586795,0.538447675274745,0.620869608775072,0.281881724156512,0.427578358356461,0.885925376741537,0.425396621861859,0.824629970258828,0.206958656967194,0.0808855826438017,0.793270432844652,3,0.259741254364398
1,13.4855812994335,0.521028619096333,4.65533412453395,1.95570770302083,1,0.35004813223656,0.1452393150108,0.578400407843408,0.950124619273826,0.739552211159546,0.572627339650735,0.0469787446408256,0.737919638067208,0.31320000439893,0.904532162206894,0.239870317701711,0.862221574385627,0.394788804939177,0.485308099944494,0.0602012620989949,0.421460027455641,0.513532383782463,0.676428207355019,0.881143450792,3,0.31229732605447
1,12.7335202639691,2.67008312676271,4.55074034928715,1.56453328343644,1,0.0107785671156568,0.766210585891501,0.529681036389726,0.107869003545076,0.861902502160649,0.516306408379286,0.531841676867811,0.270524606046112,0.904334808453901,0.927210442413183,0.449395290257305,0.51460984251635,0.389679053926915,0.200272726991324,0.615658498775078,0.289622980297961,0.900600594444333,0.00330702726511523,0.481314278843056,4,0.501161441750382
